,product_item_id,profit
223,b5631c84-0aac-48c8-9c79-d81fe615ee6f,7.692570979335144
212,adec93cb-1711-48ff-884e-ea9cdfba6cbb,7.692280128205145
111,59362005-9671-4ff1-831a-ffc2c99147c8,7.692222510822523
261,d7740aab-9927-41df-b7d6-2341ca0404e0,6.593056403143792
190,941b8dd0-960d-4f42-96c6-c9ccaccc64da,6.592831146744418
146,72f9d031-1b67-4ed1-b073-68db70eb986a,6.592792147034243
285,e3cf0370-05ce-47a4-8525-333c714ef6d5,5.592631077694237
310,fd2e91a0-99c0-4d48-939c-8e65adeed2d3,5.592386243386249
152,76a67799-e8f5-47d2-aa92-4ffaf506adb0,5.592335714285718
96,4aff6f80-a3da-462d-b410-075f4ef96b7f,5.592259240759245
257,d416e1bb-70f4-4d9e-a53c-b1895e7397f9,5.592232000000006
95,4addb38a-8b50-4895-990d-327e4bbf95e1,5.5922026502908855
127,6461e1d6-edcd-4480-8678-e30b33d8e49f,5.592196324143696
17,0f441740-e752-4a1f-86b6-83a63cb2c241,5.592162095238092
70,3575d3a0-4e5d-4494-af3d-ee98eecc38e1,5.592124178981942
82,3f245e74-cd14-4ffe-a329-49aa82ec2218,5.592048340548344
249,cdd4eac9-8ab6-4261-9e8e-8188b1a660d4,5.59180147058824
187,914dc194-3f37-44f9-b343-29e0ae87d56c,5.49372278911565
48,22bbbfc7-a1c6-4218-861f-b7b89d91f9a4,5.493644707623985
302,f5b1cc90-c4ea-49d0-8f15-8869e789b5fd,5.493626687038455
141,6ffd515d-c720-40b8-9d41-df1119dba059,5.493585310734457
217,b165fa44-93e5-4f96-bbdb-328377663f68,5.493561038961042
213,ae724737-d658-4705-885c-d672868c8d15,5.493479437229439
312,fd6d2c2f-691e-40d6-b572-58e7d53c4d4a,5.493391156462585
272,df4e9957-50d1-436a-81ad-fcf431f15af5,5.493359073359077
204,aa3ff184-2a1a-45b6-ac17-7f2fdc010cd9,5.493328527741374
94,4a92e05c-6076-48fe-a038-1f69d6096c0a,4.793475140056017
262,d88d8d87-030f-4281-95d1-b6ce185f35d7,4.79303652968036
116,5b8afb8c-0ea4-40a7-bfa1-c6d634b89534,4.792810253603349
198,9b25dc2d-6976-43c3-8e65-95b5c46eac4d,4.792657615112161
220,b37a32cf-dfcd-40af-886b-4918d194f06e,4.397450396825393
64,325ea715-3478-4772-9089-e9ed61c711bd,4.397318982387466
250,d06011cc-6c44-480a-bc06-33e14a480dda,4.39726844583987
201,a2260138-5c84-4961-8fe6-93bc0173947a,4.397248015873012
147,72fea2d4-e5ec-4f51-a229-3cca623a7c08,4.397220935220932
92,496af221-d8e9-4f66-a2d4-4b3fee46b02e,4.397182724252485
316,ff693769-edd4-46d3-8f9b-42f9e491992f,4.397170709793341
301,f513400f-68d5-4ca1-9209-f280e7f321fe,4.397086114819745
162,7f0952e4-32f1-4e37-b1ae-afaf701709e8,4.192625440917103
10,092c5b56-071b-40a3-851a-ef58c7b487ea,4.19248907292387
215,af3cc983-a399-47d7-8e9d-afd378845817,4.192460944026731
268,dc0ecc78-41a4-43ef-b302-6f7089470edf,4.192449188614005
252,d15cdf13-02be-4a41-9109-e72b3bddad15,4.19238832487311
91,4946adb2-5520-41e2-82ba-fc4871ecc8f1,4.1923100853549125
216,b0c3b66b-fa6b-4b25-bc95-bb6a3d66aebb,4.1922824941452195
303,f7296b73-25ef-40e0-a3b1-ed1beee4057e,4.192246376811596
